#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,10484931864512306
1,5;0,047981040559946175
2,5;0,048623733443126704
3,5;0,045761741697713416
4,5;0,04301021279159679
5,5;0,03982687460459325
6,5;0,03843102599893554
7,5;0,03789879595505167
8,5;0,03520751950673321
9,5;0,03350036653578494
10,5;0,029202357879515167
11,5;0,028409033851839207
12,5;0,02929273656621243
13,5;0,026420702744499452
14,5;0,023829847059177955
15,5;0,024060814814070956
16,5;0,022323535614223598
17,5;0,02005402637049236
18,5;0,02017453128608871
19,5;0,02017453128608871
20,5;0,01883893513822918
21,5;0,016238037376607988
22,5;0,016248079452907682
23,5;0,015434671272632329
24,5;0,012974362579206877
25,5;0,012040449483335174
26,5;0,010674727106576555
27,5;0,0101023287574939
28,5;0,010242917825689639
29,5;0,008093913497554754
30,5;0,008796858838533456
31,5;0,00831483917614806
32,5;0,007029453409787008
33,5;0,007250379088380314
34,5;0,0063465922214076985
35,5;0,005663731033028389
36,5;0,0054227212018356915
37,5;0,005171669294343298
38,5;0,005231921752141473
39,5;0,004418513571866119
40,5;0,004398429419266728
41,5;0,004207629969572509
42,5;0,004227714122171901
43,5;0,004308050732569466
44,5;0,004308050732569466
45,5;0,003685442001988331
46,5;0,0034846004759944166
47,5;0,003072875347706892
48,5;0,0025707715327221055
49,5;0,002861991745413282
50,5;0,0033038431025998937
51,5;0,0027314447535172373
52,5;0,0025004769986242356
53,5;0,0026812343720187585
54,5;0,002882075898012673
55,5;0,002590855685321497
56,5;0,0018075737339452306
57,5;0,0019079944969421878
58,5;0,0018778682680431005
59,5;0,0013757644530583144
60,5;0,0014360169108564888
61,5;0,0012653016137616614
62,5;9,84123477370181E-4
63,5;9,941655536698769E-4
64,5;6,426928831805264E-4
65,5;7,431136461774837E-4
66,5;9,037868669726153E-4
67,5;9,740814010704853E-4
68,5;0,001024291782568964
69,5;9,13828943272311E-4
70,5;9,539972484710939E-4
71,5;8,937447906729195E-4
72,5;7,531557224771794E-4
73,5;8,334923328747452E-4
74,5;0,0010443759351683555
75,5;9,740814010704853E-4
76,5;8,535764854741367E-4
77,5;9,640393247707896E-4
78,5;6,527349594802221E-4
79,5;0,007842861590062361
