#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting_time_per_customer (lag=0);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;0.03532708333333333;0.9166666666666666
waiting_time_per_customer (lag=1);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.01060902272727273;-0.27528277407560314
waiting_time_per_customer (lag=2);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.0020759000000000055;-0.053865424308545296
waiting_time_per_customer (lag=3);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.012681749999999999;-0.32906587250103203
waiting_time_per_customer (lag=4);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;0.0213100625;0.5529532051660082
waiting_time_per_customer (lag=5);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.009037178571428568;-0.23449658379598812
waiting_time_per_customer (lag=6);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.008094583333333332;-0.2100381356765151
waiting_time_per_customer (lag=7);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.0022417500000000024;-0.058168897800318524
waiting_time_per_customer (lag=8);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;0.005057624999999996;0.1312351831102199
waiting_time_per_customer (lag=9);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.0032317499999999985;-0.08385740402193781
waiting_time_per_customer (lag=10);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;-0.009313000000000002;-0.24165359438579945
waiting_time_per_customer (lag=11);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;2.7824999999998684E-4;0.007220027127439655
waiting_time_per_customer (lag=12);12;0.1125;0.03853863636363636;0.19631259858612324;1.7450008763210954;0.0;0.665;NaN;NaN
