#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;6;0.206;0.061637599999999994;0.24826920872311167;1.2051903336073382;0.013;0.665
waiting time/customer;6;0.019;0.002166;0.04654030511288038;2.449489742783178;0.0;0.114
