#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
server utilization/time;17;0.15776357135117564;0.13287422690569814;0.36451917220593233;2.3105408243740038;0.0;1.0
queue occupancy/time;11;0.020045508722505146;0.03372971945891609;0.1836565257727481;9.161978791117257;0.0;3.0
