#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,5126460335999156
1,5;0,14613161048597303
2,5;0,10244994625868722
3,5;0,07240537139926155
4,5;0,05023588237283541
5,5;0,03668417350188978
6,5;0,024774044184937158
7,5;0,0166979771822272
8,5;0,011537257146836595
9,5;0,008027816721893321
10,5;0,0060130549959800765
11,5;0,0033469894794787704
12,5;0,002907856923727296
13,5;0,0018513707749779104
14,5;0,001620879433518303
15,5;9,963357986743483E-4
16,5;6,921840285110459E-4
17,5;4,7455276189707423E-4
18,5;3,2927191636255323E-4
19,5;4,826028087483469E-5
20,5;8,030046734871997E-6
21,5;4,180024327741587E-6
22,5;9,680056337927888E-6
23,5;2,770016121493827E-6
24,5;7,709044866641124E-5
25,5;2,7380159352527432E-5
26,5;0,0
27,5;0,0
28,5;0,0
29,5;0,0
30,5;0,0
31,5;0,0
32,5;0,0
33,5;0,0
34,5;0,0
35,5;0,0
36,5;0,0
37,5;0,0
38,5;0,0
39,5;0,0
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
