#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;99581;0.9510400377581977;0.8921025459064864;0.9445118029471555;0.9931356887703376;0.001;10.382
waiting time/customer;99581;15.739337564394692;265.4882192085558;16.293809229537327;1.0352283990907567;0.0;108.759
