#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
server utilization/time;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
queue occupancy/time;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
