#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting_time_per_customer (lag=0);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;2.7712868413431027;0.9999949796172463
waiting_time_per_customer (lag=1);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.21136976393665186;-0.07627095817952016
waiting_time_per_customer (lag=2);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;2.3281751574006595;0.8401019462647571
waiting_time_per_customer (lag=3);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.01221620296932624;-0.004408111588113698
waiting_time_per_customer (lag=4);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;2.154623350509119;0.7774772720498964
waiting_time_per_customer (lag=5);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.03945790691469564;-0.01423804574548375
waiting_time_per_customer (lag=6);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;2.000052215520638;0.7217016097560183
waiting_time_per_customer (lag=7);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.06035122061468856;-0.021777217979793234
waiting_time_per_customer (lag=8);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;1.8599270835953647;0.6711386632024359
waiting_time_per_customer (lag=9);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.07523252678327585;-0.027147009095144642
waiting_time_per_customer (lag=10);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;1.736914788798115;0.6267507364843091
waiting_time_per_customer (lag=11);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.08988383189997662;-0.032433806312584794
waiting_time_per_customer (lag=12);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;1.6259658493875608;0.5867157676210207
waiting_time_per_customer (lag=13);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.10187991864935841;-0.036762490859227
waiting_time_per_customer (lag=14);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;1.524296548030555;0.5500292761970853
waiting_time_per_customer (lag=15);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.11240660666863445;-0.04056095553427713
waiting_time_per_customer (lag=16);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;1.431328291871357;0.5164824819655971
waiting_time_per_customer (lag=17);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.11783008946193685;-0.04251797257215057
waiting_time_per_customer (lag=18);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;1.3423213326844161;0.48436508761647906
waiting_time_per_customer (lag=19);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;-0.12276834500280964;-0.04429989953664572
waiting_time_per_customer (lag=20);199188;1.1539076299777207;2.7713007543336152;1.6647224256114337;1.4426825703922035;0.0;19.586;1.2662192048283396;0.45690429046659486
