#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,37580705083792715
1,5;0,14015322669719152
2,5;0,11076302075488749
3,5;0,08480686005763573
4,5;0,06588948800594431
5,5;0,05149059653984798
6,5;0,03988312196885261
7,5;0,030203532447711137
8,5;0,02311453846231085
9,5;0,017842977779116587
10,5;0,013605647096625198
11,5;0,010583285638260486
12,5;0,008334086413430933
13,5;0,0059141890331455655
14,5;0,0048397947605707346
15,5;0,0039461397114197065
16,5;0,0036850719442519907
17,5;0,0024600616521573233
18,5;0,001717022622526132
19,5;0,0014157905834864596
20,5;0,001054312136638853
21,5;7,129158257272244E-4
22,5;6,024640780793446E-4
23,5;4,01642718719563E-4
24,5;1,706981554558143E-4
25,5;9,036961171190167E-5
26,5;4,01642718719563E-5
27,5;3,0123203903967227E-5
28,5;7,028747577592353E-5
29,5;3,0123203903967227E-5
30,5;3,0123203903967227E-5
31,5;3,0123203903967227E-5
32,5;8,03285437439126E-5
33,5;3,0123203903967227E-5
34,5;1,0041067967989075E-5
35,5;1,0041067967989075E-5
36,5;2,008213593597815E-5
37,5;1,0041067967989075E-5
38,5;4,01642718719563E-5
39,5;2,008213593597815E-5
40,5;3,0123203903967227E-5
41,5;3,0123203903967227E-5
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
