#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,3633937449515956
1,5;0,12779278375400144
2,5;0,0998156409270302
3,5;0,08566361856226003
4,5;0,06863314944492976
5,5;0,05361028201184131
6,5;0,040606646330681645
7,5;0,034238889270335554
8,5;0,027210988367952302
9,5;0,020381948622940984
10,5;0,01568467128478688
11,5;0,012542892999637258
12,5;0,009751406753187303
13,5;0,00801481664623288
14,5;0,0070998913213674904
15,5;0,005544872271156618
16,5;0,004243404696615334
17,5;0,003912122768554513
18,5;0,0027129657894608946
19,5;0,0025393147788120127
20,5;0,001966581445504013
21,5;0,0015032387488495183
22,5;9,163853333626401E-4
23,5;5,749733463448757E-4
24,5;3,0174175613702074E-4
25,5;1,3148076521805356E-4
26,5;1,9835115440371864E-4
27,5;1,0860063205567856E-4
28,5;6,823039710091113E-5
29,5;8,934051996182618E-5
30,5;4,525026335653274E-5
31,5;1,458508488519403E-4
32,5;1,270507394353035E-4
33,5;1,0473060953214747E-4
34,5;8,030046734871997E-6
35,5;7,110041380440834E-6
36,5;3,635021155823127E-5
37,5;1,546008997772367E-5
38,5;8,030046734871997E-6
39,5;5,460031777384944E-5
40,5;2,7050157431916255E-5
41,5;5,37103125940193E-5
42,5;2,1000122220711324E-6
43,5;8,640050285092659E-6
44,5;4,910028576366315E-5
45,5;3,185018536807884E-5
46,5;2,2110128680948923E-5
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
