#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting_time_per_customer (lag=0);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;8.67465264275243;0.9999949794660158
waiting_time_per_customer (lag=1);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.3446628667782474;-0.15500979361704723
waiting_time_per_customer (lag=2);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;8.075246327771413;0.9308967307722151
waiting_time_per_customer (lag=3);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.0632802321657429;-0.12257261906844837
waiting_time_per_customer (lag=4);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;7.814970771690607;0.9008927340616394
waiting_time_per_customer (lag=5);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.085826978744317;-0.12517175868941108
waiting_time_per_customer (lag=6);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;7.570963221989917;0.8727640775376967
waiting_time_per_customer (lag=7);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.1044677540020706;-0.12732062648144676
waiting_time_per_customer (lag=8);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;7.339147738018795;0.8460408956789643
waiting_time_per_customer (lag=9);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.1176692236963706;-0.12884246302747865
waiting_time_per_customer (lag=10);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;7.124475741193569;0.82129397751429
waiting_time_per_customer (lag=11);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.132391554519963;-0.13053962111736833
waiting_time_per_customer (lag=12);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;6.923146942646299;0.7980852340567174
waiting_time_per_customer (lag=13);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.145126177487461;-0.13200764059403639
waiting_time_per_customer (lag=14);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;6.7323607125185605;0.7760918148229934
waiting_time_per_customer (lag=15);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.1563121389662325;-0.13329713376222882
waiting_time_per_customer (lag=16);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;6.550463737368877;0.7551231294564721
waiting_time_per_customer (lag=17);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.1609901787019195;-0.13383640794899845
waiting_time_per_customer (lag=18);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;6.373582777246372;0.7347326793289486
waiting_time_per_customer (lag=19);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;-1.1666139861003235;-0.13448470816290808
waiting_time_per_customer (lag=20);199182;1.9566054964805963;8.674696194359477;2.9452837205198885;1.5053027939549677;0.0;41.968;6.213335924428717;0.7162597727017572
